"crops","nitrogen","phosphorus","potassium","ph","temperature","annual_rainfall","season","soil_type"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"30 - 35",60,"rabi","clay loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",65,"rabi","clay loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",65,"rabi","clay loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"30 - 35",65,"rabi","clay loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"30 - 35",65,"rabi","clay loam"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",6.2,"25 - 30",50,"kharif","sandy"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",7.2,"25 - 30",50,"kharif","sandy"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",6.2,"30 - 35",50,"kharif","sandy"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",7.2,"30 - 35",50,"kharif","sandy"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",6.2,"25 - 30",75,"kharif","sandy"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",7.2,"25 - 30",75,"kharif","sandy"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",6.2,"30 - 35",75,"kharif","sandy"
"Moth bean (matki)","10 - 30","30 - 50","10 - 30",7.2,"30 - 35",75,"kharif","sandy"
"Mung bean","10 - 30","30 - 50","10 - 30",6,"25 - 30",40,"kharif","sandy"
"Mung bean","10 - 30","30 - 50","10 - 30",7.5,"25 - 30",40,"kharif","sandy"
"Mung bean","10 - 30","30 - 50","10 - 30",6,"25 - 30",55,"kharif","sandy"
"Mung bean","10 - 30","30 - 50","10 - 30",7.5,"25 - 30",55,"kharif","sandy"
"Mung bean","10 - 30","30 - 50","10 - 30",6,"25 - 30",40,"kharif","loam"
"Mung bean","10 - 30","30 - 50","10 - 30",7.5,"25 - 30",40,"kharif","loam"
"Mung bean","10 - 30","30 - 50","10 - 30",6,"25 - 30",55,"kharif","loam"
"Mung bean","10 - 30","30 - 50","10 - 30",7.5,"25 - 30",55,"kharif","loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6,"10 - 15",50,"rabi","sandy loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6.5,"10 - 15",50,"rabi","sandy loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6,"15 - 20",50,"rabi","sandy loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6.5,"15 - 20",50,"rabi","sandy loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6,"10 - 15",166,"rabi","sandy loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6.5,"10 - 15",166,"rabi","sandy loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6,"15 - 20",166,"rabi","sandy loam"
"Green Peas","30 - 50","25 - 45","45 - 65",6.5,"15 - 20",166,"rabi","sandy loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",6,"25 - 30",50,"kharif","black"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",50,"kharif","black"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",6,"25 - 30",70,"kharif","black"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",70,"kharif","black"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",6,"25 - 30",50,"kharif","red loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",50,"kharif","red loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",6,"25 - 30",70,"kharif","red loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",70,"kharif","red loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",6,"25 - 30",50,"kharif","clay loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",50,"kharif","clay loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",6,"25 - 30",70,"kharif","clay loam"
"Horse Gram (kulthi)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",70,"kharif","clay loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"25 - 30",60,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"25 - 30",60,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"30 - 35",60,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"30 - 35",60,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"25 - 30",75,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"25 - 30",75,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"30 - 35",75,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"30 - 35",75,"kharif","loam"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"25 - 30",60,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"25 - 30",60,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"30 - 35",60,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"30 - 35",60,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"25 - 30",75,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"25 - 30",75,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"30 - 35",75,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"30 - 35",75,"kharif","sandy"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"25 - 30",60,"kharif","clay"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"25 - 30",60,"kharif","clay"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"30 - 35",60,"kharif","clay"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"30 - 35",60,"kharif","clay"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"25 - 30",75,"kharif","clay"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"25 - 30",75,"kharif","clay"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",6.5,"30 - 35",75,"kharif","clay"
"Black Gram (Urad bean)","30 - 50","50 - 70","10 - 30",7.8,"30 - 35",75,"kharif","clay"
"Rapeseed (Mohri)","40 - 60","30 - 50","10 - 30",5.5,"5 - 10",40,"rabi","clay loam"
"Rapeseed (Mohri)","40 - 60","30 - 50","10 - 30",8.3,"5 - 10",40,"rabi","clay loam"
"Rapeseed (Mohri)","40 - 60","30 - 50","10 - 30",5.5,"5 - 10",100,"rabi","clay loam"
"Rapeseed (Mohri)","40 - 60","30 - 50","10 - 30",8.3,"5 - 10",100,"rabi","clay loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.2,"15 - 20",50,"rabi","sandy loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.8,"15 - 20",50,"rabi","sandy loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.2,"15 - 20",70,"rabi","sandy loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.8,"15 - 20",70,"rabi","sandy loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.2,"15 - 20",50,"rabi","loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.8,"15 - 20",50,"rabi","loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.2,"15 - 20",70,"rabi","loam"
"Coriander seeds","80 - 100","10 - 30","10 - 30",6.8,"15 - 20",70,"rabi","loam"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"5 - 10",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"5 - 10",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"10 - 15",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"10 - 15",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"15 - 20",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"15 - 20",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"20 - 25",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"20 - 25",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"25 - 30",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"25 - 30",63,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"5 - 10",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"5 - 10",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"10 - 15",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"10 - 15",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"15 - 20",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"15 - 20",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"20 - 25",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"20 - 25",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"25 - 30",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"25 - 30",100,"rabi","sandy"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"5 - 10",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"5 - 10",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"10 - 15",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"10 - 15",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"15 - 20",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"15 - 20",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"20 - 25",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"20 - 25",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"25 - 30",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"25 - 30",63,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"5 - 10",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"5 - 10",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"10 - 15",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"10 - 15",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"15 - 20",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"15 - 20",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"20 - 25",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"20 - 25",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",5.5,"25 - 30",100,"rabi","clay"
"Mustard seeds","90 - 110","20 - 40","5 - 25",6.8,"25 - 30",100,"rabi","clay"
"Sesame seed","20 - 40","5 - 25","20 - 40",5.5,"25 - 30",51,"kharif","sandy loam"
"Sesame seed","20 - 40","5 - 25","20 - 40",8,"25 - 30",51,"kharif","sandy loam"
"Sesame seed","20 - 40","5 - 25","20 - 40",5.5,"25 - 30",66,"kharif","sandy loam"
"Sesame seed","20 - 40","5 - 25","20 - 40",8,"25 - 30",66,"kharif","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"20 - 25",30,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"20 - 25",30,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"25 - 30",30,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"25 - 30",30,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"20 - 25",270,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"20 - 25",270,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"25 - 30",270,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"25 - 30",270,"rabi","sandy loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"20 - 25",30,"rabi","loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"20 - 25",30,"rabi","loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"25 - 30",30,"rabi","loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"25 - 30",30,"rabi","loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"20 - 25",270,"rabi","loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"20 - 25",270,"rabi","loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",6.8,"25 - 30",270,"rabi","loam"
"Cumin seeds","80 - 100","50 - 70","10 - 30",8.3,"25 - 30",270,"rabi","loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"5 - 10",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"5 - 10",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"10 - 15",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"10 - 15",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"15 - 20",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"15 - 20",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"20 - 25",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"20 - 25",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"25 - 30",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",25,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"5 - 10",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"5 - 10",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"10 - 15",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"10 - 15",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"15 - 20",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"15 - 20",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"20 - 25",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"20 - 25",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"25 - 30",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",30,"rabi","alluvial"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"5 - 10",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"5 - 10",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"10 - 15",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"10 - 15",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"15 - 20",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"15 - 20",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"20 - 25",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"20 - 25",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"25 - 30",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",25,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"5 - 10",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"5 - 10",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"10 - 15",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"10 - 15",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"15 - 20",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"15 - 20",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"20 - 25",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"20 - 25",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6,"25 - 30",30,"rabi","sandy loam"
"Lentils (Masoor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",30,"rabi","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"25 - 30",60,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"25 - 30",60,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"30 - 35",60,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"30 - 35",60,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"25 - 30",80,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"25 - 30",80,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"30 - 35",80,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"30 - 35",80,"kharif","loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"25 - 30",60,"kharif","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"25 - 30",60,"kharif","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"30 - 35",60,"kharif","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"30 - 35",60,"kharif","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"25 - 30",80,"kharif","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"25 - 30",80,"kharif","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",5.5,"30 - 35",80,"kharif","sandy loam"
"Eggplant (Brinjal)","70 - 90","5 - 25","30 - 50",6,"30 - 35",80,"kharif","sandy loam"
"Beetroot","110 - 130","40 - 60","90 - 110",6,"30 - 35",60,"rabi","loam"
"Beetroot","110 - 130","40 - 60","90 - 110",7.5,"30 - 35",60,"rabi","loam"
"Beetroot","110 - 130","40 - 60","90 - 110",6,"30 - 35",65,"rabi","loam"
"Beetroot","110 - 130","40 - 60","90 - 110",7.5,"30 - 35",65,"rabi","loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",6,"25 - 30",48,"rabi","sandy loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",7.5,"25 - 30",48,"rabi","sandy loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",6,"25 - 30",65,"rabi","sandy loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",7.5,"25 - 30",65,"rabi","sandy loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",6,"25 - 30",48,"kharif","sandy loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",7.5,"25 - 30",48,"kharif","sandy loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",6,"25 - 30",65,"kharif","sandy loam"
"Bitter Gourd","50 - 70","5 - 15","10 - 30",7.5,"25 - 30",65,"kharif","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6,"25 - 30",48,"rabi","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6.7,"25 - 30",48,"rabi","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6,"25 - 30",65,"rabi","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6.7,"25 - 30",65,"rabi","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6,"25 - 30",48,"kharif","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6.7,"25 - 30",48,"kharif","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6,"25 - 30",65,"kharif","sandy loam"
"Bottle Gourd","90 - 110","40 - 60","40 - 60",6.7,"25 - 30",65,"kharif","sandy loam"
"Capsicum (pepper)","90 - 110","10 - 30","50 - 70",5.5,"25 - 30",85,"kharif","loam"
"Capsicum (pepper)","90 - 110","10 - 30","50 - 70",7,"25 - 30",85,"kharif","loam"
"Capsicum (pepper)","90 - 110","10 - 30","50 - 70",5.5,"25 - 30",120,"kharif","loam"
"Capsicum (pepper)","90 - 110","10 - 30","50 - 70",7,"25 - 30",120,"kharif","loam"
"Cabbage","90 - 110","55 - 75","60 - 80",6,"15 - 20",50,"rabi","sandy loam"
"Cabbage","90 - 110","55 - 75","60 - 80",6.5,"15 - 20",50,"rabi","sandy loam"
"Cabbage","90 - 110","55 - 75","60 - 80",6,"15 - 20",80,"rabi","sandy loam"
"Cabbage","90 - 110","55 - 75","60 - 80",6.5,"15 - 20",80,"rabi","sandy loam"
"Carrot","40 - 60","40 - 60","30 - 50",6,"25 - 30",35,"rabi","sandy loam"
"Carrot","40 - 60","40 - 60","30 - 50",6.5,"25 - 30",35,"rabi","sandy loam"
"Carrot","40 - 60","40 - 60","30 - 50",6,"25 - 30",250,"rabi","sandy loam"
"Carrot","40 - 60","40 - 60","30 - 50",6.5,"25 - 30",250,"rabi","sandy loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"15 - 20",50,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"15 - 20",50,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"20 - 25",50,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"20 - 25",50,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"15 - 20",80,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"15 - 20",80,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"20 - 25",80,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"20 - 25",80,"rabi","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"15 - 20",50,"kharif","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"15 - 20",50,"kharif","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"20 - 25",50,"kharif","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"20 - 25",50,"kharif","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"15 - 20",80,"kharif","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"15 - 20",80,"kharif","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.5,"20 - 25",80,"kharif","loam"
"Cauliflower","70 - 90","60 - 80","40 - 60",6.8,"20 - 25",80,"kharif","loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"15 - 20",50,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"15 - 20",50,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"20 - 25",50,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"20 - 25",50,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"15 - 20",80,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"15 - 20",80,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"20 - 25",80,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"20 - 25",80,"rabi","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"15 - 20",50,"kharif","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"15 - 20",50,"kharif","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"20 - 25",50,"kharif","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"20 - 25",50,"kharif","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"15 - 20",80,"kharif","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"15 - 20",80,"kharif","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6,"20 - 25",80,"kharif","sandy loam"
"Cucumber","50 - 70","50 - 70","75 - 95",6.8,"20 - 25",80,"kharif","sandy loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.2,"15 - 20",50,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.8,"15 - 20",50,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.2,"20 - 25",50,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.8,"20 - 25",50,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.2,"25 - 30",50,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.8,"25 - 30",50,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.2,"15 - 20",80,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.8,"15 - 20",80,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.2,"20 - 25",80,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.8,"20 - 25",80,"rabi","loam"
"Coriander (Chinese parsley)","5 - 15","10 - 30","10 - 30",6.2,"25 - 30",80,"rabi","loam"
